id,food items,20-Dec,21-Nov,21-Dec
1,Agric eggs medium size,537.22,740.06,763.33
2,Agric eggs(medium size price of one),45.00,70.00,73.18
3,"Beans brown,sold loose",292.01,440.54,449.63
4,Beans:white black eye. sold loose,359.47,500.86,511.18
5,Beef Bone in,1222.97,1500.72,1520.81
6,"Beef,boneless",1373.85,1678.65,1700.00
7,Bread sliced 500g,344.44,412.50,428.50
8,Bread unsliced 500g,286.11,408.33,379.55
9,Broken Rice (Ofada),810.19,842.50,850.25
10,Chicken Feet,840.00,1060.33,1060.33
11,Chicken Wings,1126.47,1526.11,1604.76
12,Evaporated tinned milk carnation 170g,180.00,216.67,240.00
13,"Evaporated tinned milk(peak), 170g",201.67,268.89,279.39
14,Frozen chicken,1800.00,2387.50,2451.90
15,"Gari white,sold loose",253.21,372.89,374.93
16,"Gari yellow,sold loose",235.18,481.98,490.56
17,Mudfish (aro) fresh,1212.50,1577.78,1617.46
18,Mudfish : dried,1740.91,2327.14,2378.57
19,Onion bulb,224.09,500.30,609.37
20,Rice agric sold loose,439.64,509.10,555.81
21,Rice local sold loose,443.12,445.67,503.15
22,Rice Medium Grained,375.00,600.00,600.00
23,"Rice,imported high quality sold loose",539.24,663.59,697.66
24,Tomato,266.39,428.01,554.76
25,Yam tuber,283.44,600.27,623.02
26,Dried Fish Sardine,1187.41,1278.41,1383.33
27,Iced Sardine,938.53,1300.00,1375.00
28,Irish potato,476.36,632.37,843.02
29,Sweet potato,226.06,246.19,350.44
30,Tilapia fish (epiya) fresh,1006.10,1730.77,1844.44
31,Titus:frozen,1058.89,1530.30,1590.91
32,Catfish (obokun) fresh,1399.40,1821.20,1856.99
33,Catfish :dried,1712.59,2218.18,2346.10
34,Catfish Smoked,1540.00,1850.79,1850.79
35,Mackerel : frozen,1057.63,1296.88,1280.95
36,"Groundnut oil: 1 bottle, specify bottle",533.33,996.00,1066.67
37,Maize grain white sold loose,257.27,400.00,557.43
38,Maize grain yellow sold loose,259.42,450.00,403.18
39,"Palm oil: 1 bottle,specify bottle",681.48,977.78,985.34
40,Plantain(ripe),341.33,367.50,381.31
41,Plantain(unripe),291.09,382.93,401.20
42,"Vegetable oil:1 bottle,specify bottle",757.78,1025.00,1078.21
43,Wheat flour: prepacked (golden penny 2kg),653.89,980.00,995.00
,,,,
,,,,
,,,,
,,,,
